experiment_id,sample_name,filename,_,_,met_id,_,_,_,scan_type,_,precursor_formula,used_
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_194_EPI.txt,10,_,icit,_,194,_,EPI,.txt,C3[13C]3H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_194_EPI.txt,10,_,icit,_,194,_,EPI,.txt,C3[13C]3H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_195_EPI.txt,10,_,icit,_,195,_,EPI,.txt,C2[13C]4H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_195_EPI.txt,10,_,icit,_,195,_,EPI,.txt,C2[13C]4H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_196_EPI.txt,10,_,icit,_,196,_,EPI,.txt,C[13C]5H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_196_EPI.txt,10,_,icit,_,196,_,EPI,.txt,C[13C]5H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_icit_197_EPI.txt,10,_,icit,_,197,_,EPI,.txt,[13C]6H7O7-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_223_EPI.txt,10,_,chor,_,223,_,EPI,.txt,C10H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_224_EPI.txt,10,_,chor,_,224,_,EPI,.txt,C9[13C]H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_224_EPI.txt,10,_,chor,_,224,_,EPI,.txt,C9[13C]H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_225_EPI.txt,10,_,chor,_,225,_,EPI,.txt,C8[13C]2H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_225_EPI.txt,10,_,chor,_,225,_,EPI,.txt,C8[13C]2H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_226_EPI.txt,10,_,chor,_,226,_,EPI,.txt,C7[13C]3H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_226_EPI.txt,10,_,chor,_,226,_,EPI,.txt,C7[13C]3H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_227_EPI.txt,10,_,chor,_,227,_,EPI,.txt,C6[13C]4H7O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_chor_227_EPI.txt,10,_,chor,_,227,_,EPI,.txt,C6[13C]4H7O6-,
