experiment_id,sample_name_short,time_point,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_
rpomut02,OxicRph-pyrE82_Broth-5,0,g1p,g1p.g1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,g1p,g1p.g1p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,g6p,g6p.g6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,g6p,g6p.g6p_1.Light,0.201330252,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,g6p,g6p.g6p_1.Light,0.135955993,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,g6p,g6p.g6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,g6p,g6p.g6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,g6p,g6p.g6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,g6p,g6p.g6p_2.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,g6p,g6p.g6p_2.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,g6p,g6p.g6p_2.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,g6p,g6p.g6p_2.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,g6p,g6p.g6p_2.Light,0.047195364,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,g6p,g6p.g6p_2.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,gam6p,gam6p.gam6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,gam6p,gam6p.gam6p_1.Light,0.033443169,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,gam6p,gam6p.gam6p_1.Light,0.007057935,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,gam6p,gam6p.gam6p_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,gam6p,gam6p.gam6p_1.Light,0.009314011,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,gam6p,gam6p.gam6p_1.Light,0.017933684,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,gdp,gdp.gdp_1.Light,0.01999951,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,gdp,gdp.gdp_1.Light,0.094963668,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,gdp,gdp.gdp_1.Light,0.136312916,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,gdp,gdp.gdp_1.Light,0.023824456,mM,t
