"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
39564,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-6-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-6","s7p","s7p.s7p_1.Light",0.0416655873695976,"mM",f,""
39566,"rpomut02","140503_0_OxicRpoBE672KGlcM9_Broth-6-10.0x","140503_0_OxicRpoBE672KGlcM9_Broth-6","ump","ump.ump_1.Light",0.0505485285643318,"mM",f,""
39739,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-1-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-1","s7p","s7p.s7p_1.Light",0.0317711940173797,"mM",f,""
39741,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-1-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-1","ump","ump.ump_1.Light",0.0456980055147059,"mM",f,""
39824,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-2-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-2","s7p","s7p.s7p_1.Light",0.0408323745982553,"mM",f,""
39826,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-2-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-2","ump","ump.ump_1.Light",0.0591235895890726,"mM",f,""
39909,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-3-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-3","s7p","s7p.s7p_1.Light",0.0363235500418761,"mM",f,""
39911,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-3-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-3","ump","ump.ump_1.Light",0.0985048874105375,"mM",f,""
39993,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-4-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-4","s7p","s7p.s7p_1.Light",0.0212994287544563,"mM",f,""
39995,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-4-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-4","ump","ump.ump_1.Light",0.0559527426841949,"mM",f,""
40079,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-5","s7p","s7p.s7p_1.Light",0.0237250985231099,"mM",f,""
40081,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-5-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-5","ump","ump.ump_1.Light",0.0573964496288644,"mM",f,""
40166,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-6-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-6","s7p","s7p.s7p_1.Light",0.0296434432579565,"mM",f,""
40168,"rpomut02","140503_0_OxicWTEcoliGlcM9_Broth-6-10.0x","140503_0_OxicWTEcoliGlcM9_Broth-6","ump","ump.ump_1.Light",0.0732855251636973,"mM",f,""
40324,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-1-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-1","ump","ump.ump_1.Light",0.0165181133292383,"mM",f,""
40407,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-2-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-2","s7p","s7p.s7p_1.Light",0.0368147530472321,"mM",f,""
40408,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-2-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-2","ump","ump.ump_1.Light",0.0799137732774674,"mM",f,""
40492,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-3-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-3","s7p","s7p.s7p_1.Light",0.0335702649246961,"mM",f,""
40493,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-3-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-3","ump","ump.ump_1.Light",0.0657234291643985,"mM",f,""
40569,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-4-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-4","ump","ump.ump_1.Light",0.0138570013308763,"mM",f,""
40652,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-5-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-5","s7p","s7p.s7p_1.Light",0.042654280726257,"mM",f,""
40653,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-5-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-5","ump","ump.ump_1.Light",0.083090592623159,"mM",f,""
40736,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-6-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-6","s7p","s7p.s7p_1.Light",0.0452669461077844,"mM",f,""
40737,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-6-10.0x","140523_0_OxicRph-pyrE82GlcM9_Broth-6","ump","ump.ump_1.Light",0.0721772645617855,"mM",f,""
40812,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1-10.0x","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1","ump","ump.ump_1.Light",0.0768108917719981,"mM",f,""
40891,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Filtrate-4-10.0x","140523_0_OxicRph-pyrE82GlcM9_Filtrate-4","ump","ump.ump_1.Light",0.0815024719453897,"mM",f,""
40257,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-1","140523_0_OxicRph-pyrE82GlcM9_Broth-1","amp","amp.amp_1.Light",,"mM",t,""
40302,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-1","140523_0_OxicRph-pyrE82GlcM9_Broth-1","s7p","s7p.s7p_1.Light",,"mM",t,""
40304,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-1","140523_0_OxicRph-pyrE82GlcM9_Broth-1","skm","skm.skm_1.Light",,"mM",t,""
